Airport Identifier,FBO Name,City,State,0 - Jet A Retail,1 - CAA Price 1-500,2 - CAA Price 501-1000,3 - CAA Price 1001-1500,4 - CAA Price 1501-2000,5 - CAA Price 2001-2500,6 - CAA Price 2501 or more,7 - CAA Price 3501-4500,8 - CAA Price 4501-5500,9 - CAA Price 5501 or more
KPWA,Jetset FBO,BETHANY,OK,5.28,4.18,4.18,4.13,4.13,4.08,4.08,,,
KRQO,El Reno Flight Center,El Reno,OK,4.00,3.35,3.33,3.30,3.30,3.30,3.30,,,
KRVS,Christiansen Jet Center,Tulsa,OK,4.20,3.46,3.40,3.34,3.28,3.28,3.28,,,
KTUL,United States Aviation,Tulsa,OK,4.44,3.68,3.65,3.62,3.62,3.62,3.62,,,
KWDG,Enid Woodring Regional Airport,Enid,OK,4.35,3.71,3.66,3.61,3.61,3.61,3.61,,,
CYYZ,Execaire Aviation,Mississauga,ON,6.81,4.49,4.49,4.49,4.49,4.43,4.43,,,
KHIO,Global Aviation Inc.,Hillsboro,OR,5.11,3.63,3.63,3.63,3.58,3.58,3.58,,,
KLMT,RMC Aviation,Klamath Falls,OR,5.21,4.80,4.75,4.70,4.70,4.70,4.70,,,
KAFJ,Skyward Aviation,Washington,PA,5.30,4.43,4.43,4.43,4.43,4.43,4.43,,,
KCXY,Skyport Aviation,New Cumberland,PA,7.00,5.01,4.91,4.81,4.81,4.81,4.81,,,
KJST,Nulton Aviation Services Inc.,Johnstown,PA,4.78,3.93,3.92,3.91,3.90,3.89,3.87,,,
KLBE,Laurel Highlands Jet Center,Latrobe,PA,4.97,4.04,4.01,3.96,3.95,3.92,3.89,,,
CYHU,Lux FBO,Longueuil,QC,5.22,4.03,4.03,4.03,4.03,4.03,4.03,,,
CYQB,Lux FBO,Quebec,QC,4.91,3.91,3.91,3.91,3.91,3.91,3.91,,,
KOQU,FlightLevel Rhode Island,North Kingstown,RI,7.25,5.36,5.36,5.33,5.27,5.22,5.22,,,
KCAE,Columbia Aviation,Columbia,SC,5.00,4.43,4.16,3.79,3.79,3.79,3.79,,,
KGSP,Cerulean Aviation,Greer,SC,6.21,5.69,5.47,5.37,5.26,5.15,5.05,,,
